"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"54","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.32500000000027285","96.71762805300212","1.4","7.53"
"55","false","0","uniform","0","profit","0.05","as ES model","1","1","1","100","0.3249999999999318","96.71762805300212","1.4","7.53"
"56","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","3.979039320256561E-13","100.00522532015965","0","0"
"57","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"58","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"59","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","0","100.00522532015965","0","0"
"60","false","0","uniform","0","profit","0.05","as ES model","1","2","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"61","false","0","uniform","0","profit","0.05","as ES model","1","3","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"62","false","0","uniform","0","profit","0.05","as ES model","1","3","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"63","false","0","uniform","0","profit","0.05","as ES model","1","3","1","100","-1.7053025658242404E-13","100.00522532015965","0","0"
"64","false","0","uniform","0","profit","0.05","as ES model","1","3","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"65","false","0","uniform","0","profit","0.05","as ES model","1","3","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"66","false","0","uniform","0","profit","0.05","as ES model","1","4","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"67","false","0","uniform","0","profit","0.05","as ES model","1","4","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"68","false","0","uniform","0","profit","0.05","as ES model","1","4","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"69","false","0","uniform","0","profit","0.05","as ES model","1","4","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"70","false","0","uniform","0","profit","0.05","as ES model","1","4","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"71","false","0","uniform","0","profit","0.05","as ES model","1","5","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"72","false","0","uniform","0","profit","0.05","as ES model","1","5","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"73","false","0","uniform","0","profit","0.05","as ES model","1","5","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"74","false","0","uniform","0","profit","0.05","as ES model","1","5","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"75","false","0","uniform","0","profit","0.05","as ES model","1","5","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"76","false","0","uniform","0","profit","0.05","as ES model","1","6","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"77","false","0","uniform","0","profit","0.05","as ES model","1","6","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"78","false","0","uniform","0","profit","0.05","as ES model","1","6","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"79","false","0","uniform","0","profit","0.05","as ES model","1","6","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"80","false","0","uniform","0","profit","0.05","as ES model","1","6","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"81","false","0","uniform","0","profit","0.05","as ES model","1","7","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"82","false","0","uniform","0","profit","0.05","as ES model","1","7","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"83","false","0","uniform","0","profit","0.05","as ES model","1","7","1","100","0","100.00522532015965","0","0"
"84","false","0","uniform","0","profit","0.05","as ES model","1","7","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"85","false","0","uniform","0","profit","0.05","as ES model","1","7","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
